,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
1545,<td>ANSR</td>,<td>2008</td>,<td>Bangalore</td>,<td>Consulting</td>,"<td>ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.</td>",<td>Lalit Ahuja</td>,"<td>Sistema Asia Capital, Evolvence India Fund</td>","<td>$15,000,000</td>",<td>Series B</td>
1546,<td>Keito</td>,<td>2016</td>,<td>Pune</td>,<td>AI company</td>,"<td>NO-CODE &lt;&gt; Human-assisted machine learning platform for document processing, to break information silos for enterprises</td>",<td>Amal P S</td>,"<td>Rajesh Agarwal, Nandkishore Mundada</td>",<td>Undisclosed</td>,<td>Seed</td>
1547,<td>Reccy Adventures</td>,<td>2019</td>,<td>Gurugram</td>,<td>Sports startup</td>,<td>Reccy Adventures is an adventure sports startup.</td>,"<td>Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal</td>","<td>Kallol Banerjee, Jaydeep Barman</td>","<td>$400,000</td>",<td>Seed</td>
1548,<td>Magenta EV</td>,<td>2017</td>,<td>Mumbai</td>,<td>Renewable Energy</td>,<td>Magenta is in the business of Enabling electric mobility &amp; Making electricity clean</td>,"<td>Maxson Lewis, Darryl Dias</td>","<td>JITO Angel Network, LetsVenture</td>","<td>$15,000,000</td>",<td>Series A</td>
1549,<td>Karbon Card</td>,<td>2019</td>,<td>Bangalore</td>,<td>FinTech</td>,<td>Karbon Card is a financial platform for Indian entrepreneurs.</td>,"<td>Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar</td>","<td>MyAsia VC, Orios Venture Partners</td>","<td>$1,000,000</td>",<td>Pre-series A</td>
1550,<td>Wysa</td>,<td>2015</td>,<td>Bangalore</td>,<td>AI company</td>,<td>Wysa is an AI conversational agent that has been shown to help improve mental health</td>,"<td>Jo Aggarwal, Ramakant Vempati</td>","<td>W Health Ventures, Pi Ventures</td>","<td>$5,000,000</td>",<td>Series A</td>
1551,<td>Agnikul</td>,<td>2017</td>,<td>Chennai</td>,<td>SpaceTech</td>,"<td>Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.</td>","<td>Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran</td>","<td>Artha India Ventures, Sriram Krishnan</td>","<td>$11,000,000</td>",<td>Series A</td>
1552,<td>LegalPay</td>,<td>2019</td>,<td>New Delhi</td>,<td>FinTech</td>,<td>A trusted financial partner for advocates and corporate.</td>,<td>Kundan Shahi</td>,<td>9Unicorns</td>,<td>Undisclosed</td>,<td>Seed</td>
1553,<td>Glamplus</td>,<td>2020</td>,<td>Bangalore</td>,<td>SaaS startup</td>,<td>India's #1 SaaS based Salon experience Software</td>,<td>Divyanshu Singh</td>,<td>Inflection Point Ventures</td>,"<td>$200,000</td>",<td>Pre-series A</td>
1554,<td>Tekie</td>,<td>2017</td>,<td>Gurugram</td>,<td>EdTech</td>,"<td>Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.</td>","<td>Anand Verma, Naman Mukund</td>","<td>GSV, Multiply Ventures</td>","<td>$1,500,000</td>",<td>Seed</td>
1555,<td>Asirvad Microfinance</td>,<td>2007</td>,<td>Chennai</td>,<td>FinTech</td>,<td>Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.</td>,<td>Raja Vaidyanathan</td>,"<td>WorldBusiness Capital, Northern Arc</td>","<td>$15,000,000</td>",<td></td>
1556,<td>Avalon Labs</td>,<td>2017</td>,<td>Bangalore</td>,<td>FinTech</td>,"<td>Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.</td>",<td>Varun Mayya</td>,"<td>Tanglin Ventures, Better Capital, Whiteboard Capital</td>",<td>Undisclosed</td>,<td>Pre-series A</td>
1557,<td>Betterhalf.ai</td>,<td>2016</td>,<td>Bangalore</td>,<td>Matrimony</td>,<td>India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages</td>,"<td>Rahul Namdev, Pawan Gupta</td>","<td>Y Combinator, Rehan A Khan</td>","<td>$3,000,000</td>",<td>Pre-series A</td>
1558,<td>Koo</td>,<td>2020</td>,<td>Bangalore</td>,<td>Social Media</td>,<td>Koo App operates as a microblogging app.</td>,"<td>Aprameya Radhakrishna, Mayank Bidawatka</td>","<td>Balaji Srinivasan, Naval Ravikant</td>","<td>$30,000,000</td>",<td>Series B</td>
